Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
30-Nov-23,EQ,965,985.85,954,958.95,968,966.4,973.73,"1,219.00",491.15,"7,57,134","73,72,42,090.10","31,398"
29-Nov-23,EQ,958,962.1,947,947.85,958.5,958.95,955.24,"1,219.00",491.15,"3,61,763","34,55,70,384.45","16,358"
28-Nov-23,EQ,936,952.8,928.6,924.5,948,947.85,944.5,"1,219.00",491.15,"6,43,808","60,80,78,983.25","25,966"
24-Nov-23,EQ,916,928.45,914,915.2,921,924.5,923.24,"1,219.00",491.15,"2,32,280","21,44,51,100.75","11,249"
23-Nov-23,EQ,905,921,905,901.35,915,915.2,914.37,"1,219.00",491.15,"2,54,329","23,25,50,754.10","12,015"
22-Nov-23,EQ,918,922.45,900,926.1,902.3,901.35,905.99,"1,219.00",491.15,"5,31,659","48,16,77,091.35","22,222"
21-Nov-23,EQ,915.4,935.05,915.4,915.4,926.5,926.1,926.02,"1,219.00",491.15,"3,77,690","34,97,47,148.00","15,584"
20-Nov-23,EQ,915.65,925.75,909,915.65,916,915.4,915.24,"1,219.00",491.15,"3,07,225","28,11,85,541.80","13,942"
17-Nov-23,EQ,914.5,920.9,905.25,915,915.85,915.65,913.76,"1,219.00",491.15,"3,03,088","27,69,50,017.05","15,496"
16-Nov-23,EQ,911.65,920.5,896.45,907.25,910.75,915,909.47,"1,219.00",491.15,"4,57,522","41,61,01,200.10","19,007"
15-Nov-23,EQ,934.4,934.4,905.35,922.35,909,907.25,911.8,"1,219.00",491.15,"3,81,806","34,81,30,899.20","20,519"
13-Nov-23,EQ,934.3,934.3,915.05,933.15,920.35,922.35,921.29,"1,219.00",491.15,"2,43,702","22,45,19,329.55","12,927"
12-Nov-23,EQ,941,945.4,921.35,933.9,931,933.15,936.03,"1,219.00",491.15,"62,468","5,84,72,155.90","4,324"
10-Nov-23,EQ,938,940.1,917.55,940.1,931.95,933.9,928.92,"1,219.00",491.15,"5,50,951","51,17,91,917.95","24,244"
09-Nov-23,EQ,930.4,964,900.05,921.3,940,940.1,942.59,"1,219.00",491.15,"23,81,596","2,24,48,76,575.10","66,891"
08-Nov-23,EQ,914.9,934.6,910,907.95,921,921.3,921.9,"1,219.00",491.15,"5,63,389","51,93,86,422.50","29,439"
07-Nov-23,EQ,912.2,913.5,900.35,904.6,912,907.95,908.35,"1,219.00",491.15,"3,13,734","28,49,79,950.40","17,868"
